time_stamp,node,light,sound,temp,smoke,corrected_smoke,label
22:56:53,1,1002,495,691,489,489,fire
22:56:54,1,1001,494,692,580,580,fire
22:56:55,1,1001,494,692,523,523,fire
22:56:56,1,1001,500,692,542,542,fire
22:56:57,1,1001,494,693,532,532,fire
22:56:58,1,1002,498,694,513,513,fire
22:56:59,1,1001,491,694,918,918,fire
22:57:00,1,1002,517,693,902,902,fire
22:57:01,1,1001,491,694,917,917,fire
22:57:02,1,1001,496,693,906,906,fire
22:57:03,1,1001,490,693,893,893,fire
22:57:04,1,1001,497,693,900,900,fire
22:57:05,1,1001,493,693,872,872,fire
22:57:06,1,1001,493,692,905,905,fire
22:57:07,1,1001,480,692,910,910,fire
22:57:08,1,1001,490,692,900,900,fire
22:57:09,1,1001,496,691,878,878,fire
22:57:10,1,1001,488,691,917,917,fire
22:57:11,1,1001,489,691,929,929,fire
22:57:12,1,1001,490,690,908,908,fire
22:57:13,1,1002,489,690,906,906,fire
22:57:14,1,1002,492,690,918,918,fire
22:57:15,1,1001,490,688,919,919,fire
22:57:16,1,1002,490,687,923,923,fire
22:57:17,1,1002,492,687,888,888,fire
22:57:18,1,1002,489,686,906,906,fire
22:57:19,1,,,,,,fire
22:57:20,1,1002,506,684,314,314,fire
22:57:21,1,,,,,,fire
22:57:22,1,,,,,,fire
22:57:23,1,1002,496,683,493,493,fire
22:57:24,1,1001,494,683,459,459,fire
22:57:25,1,1002,494,683,523,523,fire
22:57:26,1,1002,498,682,502,502,fire
22:57:27,1,1001,489,681,525,525,fire
22:57:28,1,1002,493,681,507,507,fire
22:57:29,1,1003,492,681,462,462,fire
22:57:30,1,1003,488,680,425,425,fire
22:57:31,1,1003,490,678,481,481,fire
22:57:32,1,1003,486,677,421,421,fire
22:57:33,1,1002,495,677,445,445,fire
22:57:34,1,,,,,,fire
22:57:35,1,1003,492,676,706,706,fire
22:57:36,1,1002,494,676,361,361,fire
22:57:37,1,1003,485,675,732,732,fire
22:57:38,1,1002,493,675,503,503,fire
22:57:39,1,1003,490,674,545,545,fire
22:57:40,1,1002,492,674,412,412,fire
22:57:41,1,1002,496,674,564,564,fire
22:57:42,1,1002,501,674,578,578,fire
22:57:43,1,1002,480,674,542,542,fire
22:57:44,1,1002,493,674,484,484,fire
22:57:45,1,1002,491,674,465,465,fire
22:57:46,1,1003,494,673,488,488,fire
22:57:47,1,1002,493,673,608,608,fire
22:57:48,1,1002,492,672,534,534,fire
22:57:49,1,1002,492,672,561,561,fire
22:57:50,1,1002,493,672,467,467,fire
22:57:51,1,1002,494,672,583,583,fire
22:57:52,1,1002,505,672,482,482,fire
22:57:53,1,1002,491,671,458,458,fire
22:57:54,1,1002,492,670,472,472,fire
22:57:55,1,1002,488,672,478,478,fire
22:57:56,1,1002,492,672,546,546,fire
22:57:57,1,1003,509,673,513,513,fire
22:57:58,1,1002,497,673,475,475,fire
22:57:59,1,1002,491,672,472,472,fire
22:58:00,1,1002,483,670,548,548,fire
22:58:01,1,1002,496,670,477,477,fire
22:58:02,1,1002,489,668,896,896,fire
22:58:03,1,1002,489,666,914,914,fire
22:58:04,1,1002,493,665,914,914,fire
22:58:05,1,1003,489,664,901,901,fire
22:58:06,1,1002,497,664,919,919,fire
22:58:07,1,1002,501,663,889,889,fire
22:58:08,1,1002,494,662,918,918,fire
22:58:09,1,1002,491,662,874,874,fire
22:58:10,1,1002,495,661,891,891,fire
22:58:11,1,1002,493,660,900,900,fire
22:58:12,1,1002,499,660,903,903,fire
22:58:13,1,1002,491,660,902,902,fire
22:58:14,1,1002,490,660,904,904,fire
22:58:15,1,1002,493,660,904,904,fire
22:58:16,1,1002,486,660,912,912,fire
22:58:17,1,1002,495,660,882,882,fire
22:58:18,1,1002,490,660,877,877,fire
22:58:19,1,1002,491,660,896,896,fire
22:58:20,1,1002,491,659,899,899,fire
22:58:21,1,1002,492,657,911,911,fire
22:58:22,1,1002,495,655,896,896,fire
22:58:23,1,1002,491,654,919,919,fire
22:58:24,1,1002,500,653,892,892,fire
22:58:25,1,1002,491,653,885,885,fire
22:58:26,1,1002,492,653,901,901,fire
22:58:27,1,1002,497,653,878,878,fire
22:58:28,1,1002,495,654,892,892,fire
22:58:29,1,1002,493,653,865,865,fire
22:58:30,1,1002,488,653,882,882,fire
22:58:31,1,1002,493,653,892,892,fire
22:58:32,1,1002,491,653,883,883,fire
22:58:33,1,1002,491,654,899,899,fire
22:58:34,1,1002,492,654,918,918,fire
22:58:35,1,1002,495,654,496,496,fire
22:58:36,1,1002,490,655,481,481,fire
22:58:37,1,1002,491,654,505,505,fire
22:58:38,1,1002,497,654,540,540,fire
22:58:39,1,1002,494,653,542,542,fire
22:58:40,1,1002,497,652,366,366,fire
22:58:41,1,1002,497,652,607,607,fire
22:58:42,1,1002,496,652,539,539,fire
22:58:43,1,1002,491,652,579,579,fire
22:58:44,1,1002,491,652,558,558,fire
22:58:45,1,1002,491,651,543,543,fire
22:58:46,1,1002,487,653,525,525,fire
22:58:47,1,1002,495,663,484,484,fire
22:58:48,1,1002,492,660,503,503,fire
22:58:49,1,1002,495,657,538,538,fire
22:58:50,1,1002,492,657,542,542,fire
22:58:51,1,1002,496,656,540,540,fire
22:58:52,1,1002,494,656,500,500,fire
22:58:53,1,1002,499,656,894,894,fire
