Time_Stamp,node_1,light_1,sound_1,temperature_1,smoke_1,sum 
23:06:09,9,998,497,557,1,2053
23:06:10,9,998,488,557,0,2043
23:06:11,9,999,482,557,1,2039
23:06:12,9,998,492,557,0,2047
23:06:13,9,998,485,556,1,2040
23:06:14,9,998,488,556,0,2042
23:06:15,9,998,485,556,1,2040
23:06:16,9,998,488,556,0,2042
23:06:17,9,0,0,0,0,0
23:06:18,9,999,486,556,1,2042
23:06:19,9,998,487,556,2,2043
23:06:20,9,998,488,556,1,2043
23:06:21,9,998,490,556,1,2045
23:06:22,9,998,488,556,1,2043
23:06:23,9,998,487,556,0,2041
23:06:24,9,998,488,556,1,2043
23:06:25,9,998,490,556,0,2044
23:06:26,9,998,489,555,1,2043
23:06:27,9,998,487,555,0,2040
23:06:28,9,998,465,555,1,2019
23:06:29,9,998,488,555,1,2042
23:06:30,9,998,489,555,1,2043
23:06:31,9,998,486,554,0,2038
23:06:32,9,998,486,554,0,2038
23:06:33,9,998,489,554,0,2041
23:06:34,9,998,489,554,1,2042
23:06:35,9,998,489,555,1,2043
23:06:36,9,998,483,555,0,2036
23:06:37,9,998,490,555,1,2044
23:06:38,9,998,490,555,0,2043
23:06:39,9,998,488,554,0,2040
23:06:40,9,998,487,554,1,2040
23:06:41,9,998,492,554,1,2045
23:06:42,9,998,484,554,1,2037
23:06:43,9,998,488,554,0,2040
23:06:44,9,998,488,553,1,2040
23:06:45,9,998,479,553,0,2030
23:06:46,9,998,485,553,0,2036
23:06:47,9,998,493,553,0,2044
23:06:48,9,998,487,553,1,2039
23:06:49,9,998,490,553,0,2041
23:06:50,9,998,489,552,1,2040
23:06:51,9,998,491,552,1,2042
23:06:52,9,998,493,552,0,2043
23:06:53,9,998,492,552,1,2043
23:06:54,9,998,506,552,1,2057
23:06:55,9,998,488,552,1,2039
23:06:56,9,998,485,552,0,2035
23:06:57,9,998,486,553,1,2038
23:06:58,9,998,485,553,1,2037
23:06:59,9,998,488,553,1,2040
23:07:00,9,998,487,552,1,2038
23:07:01,9,998,489,552,0,2039
23:07:02,9,998,487,552,0,2037
23:07:03,9,998,490,552,0,2040
23:07:04,9,998,487,553,0,2038
23:07:05,9,999,488,554,0,2041
22:50:41,10,1000,486,530,0,2016
22:50:42,10,999,597,530,0,2126
22:50:43,10,999,517,530,0,2046
22:50:44,10,999,493,530,0,2022
22:50:45,10,1000,479,530,0,2009
22:50:46,10,999,500,530,0,2029
22:50:47,10,999,499,530,0,2028
22:50:48,10,999,504,531,0,2034
22:50:49,10,999,490,531,0,2020
22:50:50,10,999,512,531,0,2042
22:50:51,10,999,489,531,0,2019
22:50:52,10,999,491,531,0,2021
22:50:53,10,999,502,531,0,2032
22:50:54,10,0,0,0,0,0
22:50:55,10,998,511,531,0,2040
22:50:56,10,998,506,531,0,2035
22:50:57,10,997,472,531,0,2000
22:50:58,10,998,497,530,0,2025
22:50:59,10,998,446,531,0,1975
22:51:00,10,999,498,531,0,2028
22:51:01,10,1008,489,531,0,2028
22:51:02,10,1012,484,535,0,2031
22:51:03,10,998,480,533,0,2011
22:51:04,10,0,0,0,0,0
22:51:05,10,1006,500,533,0,2039
22:51:06,10,1004,389,537,0,1930
22:51:07,10,997,533,535,0,2065
22:51:08,10,997,491,534,0,2022
22:51:09,10,1004,480,534,0,2018
22:51:10,10,1012,491,538,0,2041
22:51:11,10,1000,495,537,0,2032
22:51:12,10,999,498,536,0,2033
22:51:13,10,999,491,535,0,2025
22:51:14,10,999,488,535,0,2022
22:51:15,10,999,496,535,0,2030
22:51:16,10,0,0,0,0,0
22:51:17,10,0,0,0,0,0
22:51:18,10,0,0,0,0,0
22:51:19,10,0,0,0,0,0
22:51:20,10,0,0,0,0,0
22:51:21,10,0,0,0,0,0
22:51:22,10,0,0,0,0,0
22:51:23,10,0,0,0,0,0
22:51:24,10,0,0,0,0,0
22:51:25,10,998,0,534,0,1532
22:51:26,10,997,509,534,0,2040
22:51:27,10,0,0,0,0,0
22:51:28,10,997,500,533,0,2030
22:51:29,10,0,0,0,0,0
22:51:30,10,996,244,533,0,1773
22:51:31,10,0,0,0,0,0
22:51:32,10,0,0,0,0,0
22:51:33,10,0,0,0,0,0
22:51:34,10,997,566,533,0,2096
22:51:35,10,0,0,0,0,0
22:51:36,10,0,0,0,0,0
22:51:37,10,998,500,533,0,2031
22:51:38,10,998,488,533,137,2156
22:51:39,10,998,493,533,8,2032
22:51:40,10,0,0,0,0,0
22:51:41,10,1000,489,534,401,2424
22:51:42,10,0,0,0,0,0
22:51:43,10,0,0,0,0,0
22:51:44,10,999,488,533,459,2479
22:51:45,10,0,0,0,0,0
22:51:46,10,0,0,0,0,0
22:51:47,10,999,488,533,532,2552
22:51:48,10,999,496,533,547,2575
22:51:49,10,1000,503,533,502,2538
22:51:50,10,1000,504,532,541,2577
22:51:51,10,999,483,532,370,2384
22:51:52,10,999,496,532,326,2353
22:51:53,10,0,0,0,0,0
22:51:54,10,1000,505,535,527,2567
22:51:55,10,1001,480,536,282,2299
22:51:56,10,1000,490,537,413,2440
22:51:57,10,1005,514,545,399,2463
22:51:58,10,1000,494,565,472,2531
22:51:59,10,0,0,0,0,0
22:52:00,10,1001,546,573,490,2610
22:52:01,10,1002,482,575,649,2708
22:52:02,10,1001,490,582,503,2576
22:52:03,10,1001,501,582,558,2642
22:52:04,10,1001,490,588,407,2486
22:52:05,10,1001,489,595,561,2646
22:52:06,10,1000,486,598,526,2610
22:52:07,10,1000,496,599,418,2513
22:52:08,10,1000,496,599,424,2519
22:52:09,10,1000,511,601,622,2734
22:52:10,10,1000,505,600,287,2392
22:52:11,10,0,0,0,0,0
22:52:12,10,0,0,0,0,0
22:52:13,10,0,0,0,0,0
22:52:14,10,1000,523,604,576,2703
22:52:15,10,1000,499,608,482,2589
22:52:16,10,1000,503,609,504,2616
22:52:17,10,1000,475,609,567,2651
22:52:18,10,1000,495,609,363,2467
22:52:19,10,1000,490,610,431,2531
